policy_id,policy_state,policy_deductible,policy_annual_premium,insured_age,insured_sex,insured_education_level,insured_occupation,insured_hobbies,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,police_report_available,claim_amount,total_claim_amount,fraud_reported
POL119897,FL,700,1140.55,49,OTHER,Masters,Teacher,paintball,2025-05-26,Multi-vehicle Collision,Unknown,Minor Damage,,PA,Buchananside,13,1,0,3,No,1916.37,3547.78,N
POL118681,GA,200,1022.13,59,MALE,High School,Lawyer,paintball,2024-09-28,Parked Car,Unknown,Total Loss,,MI,Chelseashire,21,1,2,2,Yes,5609.49,6010.85,N
POL117520,TX,500,626.28,68,FEMALE,PhD,Engineer,chess,2023-11-11,Multi-vehicle Collision,Front,Major Damage,,CA,Courtneymouth,6,3,3,1,No,13679.6,14508.48,Y
POL123130,IL,800,928.84,68,FEMALE,PhD,Engineer,camping,2024-03-26,Multi-vehicle Collision,Front,Total Loss,,CA,South Courtney,3,2,4,0,Yes,4274.93,4916.77,Y
POL100949,NC,800,1396.82,59,MALE,High School,Lawyer,paintball,2025-05-15,Multi-vehicle Collision,Side,Total Loss,,IL,North Edward,1,3,3,0,No,16006.13,16050.98,Y
POL115550,TX,200,1442.85,67,MALE,Masters,Lawyer,reading,2025-07-01,Parked Car,Unknown,Major Damage,Ambulance,FL,South Jonathan,18,4,3,4,No,16560.04,23314.3,N
POL104456,NC,500,868.73,65,OTHER,Masters,Engineer,reading,2025-10-09,Single Vehicle Collision,Front,Major Damage,Police,TX,Leeport,0,3,0,2,Yes,26175.02,21890.1,N
POL126709,NY,800,1084.54,22,OTHER,PhD,Clerk,camping,2025-08-02,Vehicle Theft,Rear,Total Loss,Police,FL,Courtneyville,11,3,2,5,Yes,14235.58,21037.89,Y
POL103123,TX,700,844.22,31,MALE,High School,Technician,hiking,2024-06-29,Vehicle Theft,Front,Total Loss,Ambulance,MI,Coreyville,15,3,2,1,Yes,24424.94,24179.43,N
POL102924,MI,300,1292.48,18,MALE,College,Lawyer,movies,2024-08-25,Single Vehicle Collision,Rear,Major Damage,Ambulance,GA,Jamieshire,6,1,4,3,No,3574.9,5275.14,N
POL100201,NY,200,902.03,58,FEMALE,Masters,Doctor,movies,2025-08-26,Single Vehicle Collision,Unknown,Total Loss,Ambulance,NC,Sancheztown,12,1,0,3,No,7257.12,12913.65,N
POL116370,FL,300,724.11,43,FEMALE,High School,Lawyer,yachting,2025-07-16,Vehicle Theft,Rear,Major Damage,Police,GA,Cannontown,19,4,3,5,Yes,15736.5,20230.44,N
POL127642,NC,600,1303.91,63,OTHER,High School,Doctor,movies,2025-10-24,Multi-vehicle Collision,Rear,Minor Damage,Police,NC,New Joshua,7,1,3,2,Yes,6090.96,6086.04,N
POL127102,TX,700,835.34,49,MALE,Masters,Clerk,reading,2025-05-14,Single Vehicle Collision,Rear,Total Loss,Police,CA,North Jennifer,16,4,0,0,No,6018.6,6535.94,N
POL129423,PA,1000,741.65,68,MALE,Masters,Lawyer,chess,2025-09-10,Vehicle Theft,Rear,Total Loss,Fire,CA,Port Deannaville,13,4,4,0,No,1189.75,1509.7,N
POL100105,MI,600,1498.39,35,MALE,Masters,Clerk,paintball,2025-07-20,Single Vehicle Collision,Rear,Minor Damage,Police,IL,North Mollymouth,8,3,1,0,No,7285.46,10207.43,N
POL127144,PA,700,952.5,73,MALE,College,Manager,paintball,2024-12-13,Vehicle Theft,Side,Total Loss,Fire,NY,West Valerieside,15,4,2,4,No,21600.49,18813.22,N
POL129415,OH,700,741.88,44,MALE,Masters,Teacher,camping,2024-12-31,Single Vehicle Collision,Front,Total Loss,Police,MI,South Meganview,12,3,4,4,Yes,11547.22,22745.52,Y
POL101353,NC,1000,900.37,18,OTHER,PhD,Teacher,camping,2024-07-04,Vehicle Theft,Rear,Total Loss,,NY,Lopezstad,0,2,0,2,Yes,7950.49,14535.64,N
POL102709,OH,300,721.19,48,OTHER,PhD,Clerk,hiking,2025-08-22,Multi-vehicle Collision,Front,Major Damage,Fire,NC,West Jasonbury,7,4,3,2,No,4043.79,3746.22,N
POL113342,MI,600,1206.62,55,MALE,High School,Manager,camping,2024-09-26,Multi-vehicle Collision,Unknown,Major Damage,Fire,MI,Clarkfurt,6,1,2,1,Yes,6982.02,13857.4,N
POL110312,FL,300,1169.5,32,OTHER,High School,Sales,yachting,2023-12-12,Multi-vehicle Collision,Side,Total Loss,Police,NY,Whiteburgh,2,1,3,3,Yes,10828.42,9677.93,N
POL101456,PA,800,819.31,24,MALE,High School,Sales,reading,2025-05-18,Vehicle Theft,Rear,Total Loss,Fire,FL,North Nicholas,6,4,0,2,Yes,22607.39,23631.85,Y
POL125843,MI,200,840.63,74,OTHER,High School,Lawyer,camping,2024-12-25,Single Vehicle Collision,Front,Total Loss,Ambulance,OH,North James,22,3,3,3,No,15808.74,16410.67,N
POL126404,FL,500,1014.9,36,FEMALE,PhD,Manager,movies,2025-05-01,Multi-vehicle Collision,Unknown,Minor Damage,Ambulance,IL,New Jeremyland,6,2,1,2,Yes,7447.14,12326.77,N
POL125699,PA,300,1361.71,36,FEMALE,Masters,Lawyer,camping,2023-12-29,Parked Car,Side,Major Damage,Ambulance,NY,Michellestad,23,3,0,4,No,12655.76,10643.32,N
POL116837,OH,200,854.6,39,OTHER,High School,Engineer,camping,2024-07-18,Vehicle Theft,Front,Total Loss,,PA,Calhounland,14,4,1,4,No,14218.27,18764.57,N
POL118552,NY,600,1455.58,58,MALE,High School,Teacher,camping,2025-06-20,Single Vehicle Collision,Rear,Total Loss,Ambulance,CA,West Gregory,2,3,3,3,Yes,2851.19,2675.11,N
POL101475,NC,200,1271.04,52,OTHER,High School,Technician,chess,2024-06-20,Parked Car,Unknown,Minor Damage,Fire,IL,Turnertown,22,3,3,2,Yes,10723.57,10981.82,N
POL108504,PA,800,1160.79,57,MALE,College,Manager,yachting,2025-09-28,Single Vehicle Collision,Rear,Minor Damage,Police,MI,West Angelaton,18,4,2,1,Yes,12276.83,16364.43,N
POL110268,IL,200,1178.17,70,MALE,Masters,Doctor,chess,2023-12-09,Single Vehicle Collision,Side,Major Damage,Police,NY,Rodriguezbury,6,2,1,0,Yes,8311.54,8205.96,N
POL101552,TX,300,1433.69,49,MALE,PhD,Engineer,movies,2024-12-04,Vehicle Theft,Unknown,Total Loss,Ambulance,MI,Alexanderside,18,2,1,0,No,5137.81,7474.5,Y
POL112954,OH,200,1203.1,48,OTHER,College,Clerk,reading,2023-12-05,Parked Car,Unknown,Major Damage,Police,PA,Jeannebury,14,2,3,2,Yes,13549.79,14414.6,N
